task,id,model,accuracy,macro_f1,per_class,confusion_matrix,eval_count,eval_duration_ms,prompt_eval_count,prompt_eval_duration_ms,total_duration_ms,wall_time_ms,output
ticket_classification,tc11,phi4-mini:3.8b,0.0,0.0,"{'access': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'access': {'change': 1, 'access': 0}, 'change': {'access': 0, 'change': 0}}",2,116486100,62,1762368400,2114326600,4158,Change
ticket_classification,tc12,phi4-mini:3.8b,0.0,0.0,"{'access': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'access': {'change': 1, 'access': 0}, 'change': {'access': 0, 'change': 0}}",2,123039200,61,1963839500,2333032400,4378,Change
ticket_classification,tc13,phi4-mini:3.8b,1.0,1.0,"{'password_reset': {'precision': 1.0, 'recall': 1.0, 'f1': 1.0}}",{'password_reset': {'password_reset': 1}},3,215790300,61,4719607900,16492387400,18626,Password_reset
ticket_classification,tc14,phi4-mini:3.8b,0.0,0.0,"{'password': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'password_reset': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'password_reset': {'password': 1, 'password_reset': 0}, 'password': {'password': 0, 'password_reset': 0}}",3,228582400,59,1467294400,1943474300,4231,Password reset
ticket_classification,tc15,phi4-mini:3.8b,0.0,0.0,"{'bug': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'problem': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'bug': {'problem': 1, 'bug': 0}, 'problem': {'bug': 0, 'problem': 0}}",2,118277300,65,1984749500,2376535300,4427,Problem
ticket_classification,tc16,phi4-mini:3.8b,0.0,0.0,"{'bug': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'bug': {'change': 1, 'bug': 0}, 'change': {'bug': 0, 'change': 0}}",2,131915600,64,2273417700,2741751600,4790,Change
ticket_classification,tc17,phi4-mini:3.8b,0.0,0.0,"{'incident': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'network': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'network': {'incident': 1, 'network': 0}, 'incident': {'incident': 0, 'network': 0}}",2,112478800,63,1860338300,2232541300,4280,Incident
ticket_classification,tc18,phi4-mini:3.8b,0.0,0.0,"{'maintenance': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'network': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'network': {'maintenance': 1, 'network': 0}, 'maintenance': {'maintenance': 0, 'network': 0}}",2,119255300,65,2060689100,2469913400,4524,Maintenance
ticket_classification,tc19,phi4-mini:3.8b,0.0,0.0,"{'incident': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'outage': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'outage': {'incident': 1, 'outage': 0}, 'incident': {'incident': 0, 'outage': 0}}",2,142395300,66,2339328200,2814050200,4848,Incident
ticket_classification,tc20,phi4-mini:3.8b,0.0,0.0,"{'incident': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'outage': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'outage': {'incident': 1, 'outage': 0}, 'incident': {'incident': 0, 'outage': 0}}",2,115017700,63,1826431800,2216997800,4256,Incident
ticket_classification,tc21,phi4-mini:3.8b,0.0,0.0,"{'incident': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'performance': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'performance': {'incident': 1, 'performance': 0}, 'incident': {'incident': 0, 'performance': 0}}",2,113560900,64,1701651500,2053065800,4095,Incident
ticket_classification,tc22,phi4-mini:3.8b,0.0,0.0,"{'performance': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'problem': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'performance': {'problem': 1, 'performance': 0}, 'problem': {'performance': 0, 'problem': 0}}",2,201535600,64,2610161400,3182989000,5229,Problem
ticket_classification,tc23,phi4-mini:3.8b,0.0,0.0,"{'incident': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'security': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'security': {'incident': 1, 'security': 0}, 'incident': {'incident': 0, 'security': 0}}",2,107132200,63,1792483600,2116826800,4160,Incident
ticket_classification,tc24,phi4-mini:3.8b,0.0,0.0,"{'incident': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'security': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'security': {'incident': 1, 'security': 0}, 'incident': {'incident': 0, 'security': 0}}",2,100624900,62,1545976600,1870889700,3921,Incident
ticket_classification,tc25,phi4-mini:3.8b,0.0,0.0,"{'billing': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'problem': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'billing': {'problem': 1, 'billing': 0}, 'problem': {'billing': 0, 'problem': 0}}",2,99375900,63,1691996200,2101760300,4153,Problem
ticket_classification,tc26,phi4-mini:3.8b,0.0,0.0,"{'billing': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'incident': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'billing': {'incident': 1, 'billing': 0}, 'incident': {'billing': 0, 'incident': 0}}",2,116736500,64,1747268500,2146210000,4196,Incident
ticket_classification,tc27,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'devops': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'devops': {'change': 1, 'devops': 0}, 'change': {'change': 0, 'devops': 0}}",2,100161400,64,1719159000,2073262000,4131,Change
ticket_classification,tc28,phi4-mini:3.8b,0.0,0.0,"{'devops': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'incident': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'devops': {'incident': 1, 'devops': 0}, 'incident': {'devops': 0, 'incident': 0}}",2,115857600,61,1756087700,2104539800,4137,Incident
ticket_classification,tc29,phi4-mini:3.8b,0.0,0.0,"{'backup': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'maintenance': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'backup': {'maintenance': 1, 'backup': 0}, 'maintenance': {'backup': 0, 'maintenance': 0}}",2,126422200,64,2456092100,2891606900,4932,Maintenance
ticket_classification,tc30,phi4-mini:3.8b,0.0,0.0,"{'backup': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'backup': {'change': 1, 'backup': 0}, 'change': {'backup': 0, 'change': 0}}",2,149884800,61,1928721900,2410085700,4466,Change
ticket_classification,tc31,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'database': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'database': {'change': 1, 'database': 0}, 'change': {'change': 0, 'database': 0}}",2,113159400,61,2082527200,2486745700,4532,Change
ticket_classification,tc32,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'database': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'database': {'change': 1, 'database': 0}, 'change': {'change': 0, 'database': 0}}",2,102702000,60,1619390500,2018587500,4080,Change
ticket_classification,tc33,phi4-mini:3.8b,0.0,0.0,"{'hardware': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'maintenance': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'hardware': {'maintenance': 1, 'hardware': 0}, 'maintenance': {'hardware': 0, 'maintenance': 0}}",2,132208900,62,2026413900,2421133800,4466,Maintenance
ticket_classification,tc34,phi4-mini:3.8b,0.0,0.0,"{'hardware': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'maintenance': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'hardware': {'maintenance': 1, 'hardware': 0}, 'maintenance': {'hardware': 0, 'maintenance': 0}}",2,112645800,60,1688495400,2140838300,4206,Maintenance
ticket_classification,tc35,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'software_install': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'software_install': {'change': 1, 'software_install': 0}, 'change': {'change': 0, 'software_install': 0}}",2,113090600,63,1916530300,2299050800,4345,Change
ticket_classification,tc36,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'software_install': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'software_install': {'change': 1, 'software_install': 0}, 'change': {'change': 0, 'software_install': 0}}",2,1101082700,65,5921063900,7424146300,9470,Change
ticket_classification,tc37,phi4-mini:3.8b,0.0,0.0,"{'incident': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'vpn': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'vpn': {'incident': 1, 'vpn': 0}, 'incident': {'incident': 0, 'vpn': 0}}",2,118872100,65,5658544700,10753471200,13302,Incident
ticket_classification,tc38,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'vpn': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'vpn': {'change': 1, 'vpn': 0}, 'change': {'change': 0, 'vpn': 0}}",2,106863100,61,1732713300,2115548700,4150,Change
ticket_classification,tc39,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'email': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'email': {'change': 1, 'email': 0}, 'change': {'change': 0, 'email': 0}}",2,98395900,62,1611412000,1936979900,3983,Change
ticket_classification,tc40,phi4-mini:3.8b,0.0,0.0,"{'email': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'incident': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'email': {'incident': 1, 'email': 0}, 'incident': {'email': 0, 'incident': 0}}",2,120990600,63,1692492500,2078963800,4136,Incident
ticket_classification,tc41,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'printer': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'printer': {'change': 1, 'printer': 0}, 'change': {'change': 0, 'printer': 0}}",2,99548800,66,1917870800,2249358100,4307,Change
ticket_classification,tc42,phi4-mini:3.8b,0.0,0.0,"{'maintenance': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'printer': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'printer': {'maintenance': 1, 'printer': 0}, 'maintenance': {'maintenance': 0, 'printer': 0}}",2,122241100,65,1757399900,2116565200,4159,Maintenance
ticket_classification,tc43,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'onboarding': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'onboarding': {'change': 1, 'onboarding': 0}, 'change': {'change': 0, 'onboarding': 0}}",2,93675300,66,1733752000,2035110500,4082,Change
ticket_classification,tc44,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'onboarding': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'onboarding': {'change': 1, 'onboarding': 0}, 'change': {'change': 0, 'onboarding': 0}}",2,102182600,64,1570142700,1876098000,3928,Change
ticket_classification,tc45,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'offboarding': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'offboarding': {'change': 1, 'offboarding': 0}, 'change': {'change': 0, 'offboarding': 0}}",2,99335500,61,1561643200,1933471400,3964,Change
ticket_classification,tc46,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'offboarding': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'offboarding': {'change': 1, 'offboarding': 0}, 'change': {'change': 0, 'offboarding': 0}}",2,104685500,65,1560114100,1880964900,3911,Change
ticket_classification,tc47,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'policy': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'policy': {'change': 1, 'policy': 0}, 'change': {'change': 0, 'policy': 0}}",2,100539800,63,1671563600,2022610400,4081,Change
ticket_classification,tc48,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'policy': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'policy': {'change': 1, 'policy': 0}, 'change': {'change': 0, 'policy': 0}}",2,111336700,60,1432630200,1767351700,3817,Change
ticket_classification,tc49,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'knowledge': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'knowledge': {'change': 1, 'knowledge': 0}, 'change': {'change': 0, 'knowledge': 0}}",2,100334900,60,1597008900,1892224700,3934,Change
ticket_classification,tc50,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'knowledge': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'knowledge': {'change': 1, 'knowledge': 0}, 'change': {'change': 0, 'knowledge': 0}}",2,100228100,60,1449617700,1746163800,3797,Change
ticket_classification,tc51,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'monitoring': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'monitoring': {'change': 1, 'monitoring': 0}, 'change': {'change': 0, 'monitoring': 0}}",2,102481400,61,1449716100,1766030200,3807,Change
ticket_classification,tc52,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'monitoring': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'monitoring': {'change': 1, 'monitoring': 0}, 'change': {'change': 0, 'monitoring': 0}}",2,95262300,59,1510114000,1787337400,3827,Change
ticket_classification,tc53,phi4-mini:3.8b,0.0,0.0,"{'capacity': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'capacity': {'change': 1, 'capacity': 0}, 'change': {'capacity': 0, 'change': 0}}",2,91144000,70,2078580300,2346260500,4404,Change
ticket_classification,tc54,phi4-mini:3.8b,0.0,0.0,"{'capacity': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'capacity': {'change': 1, 'capacity': 0}, 'change': {'capacity': 0, 'change': 0}}",2,102166300,63,1836819800,2156336600,4200,Change
ticket_classification,tc55,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'compliance': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'compliance': {'change': 1, 'compliance': 0}, 'change': {'change': 0, 'compliance': 0}}",2,132481900,61,1820842500,2228539100,4270,Change
ticket_classification,tc56,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'compliance': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'compliance': {'change': 1, 'compliance': 0}, 'change': {'change': 0, 'compliance': 0}}",2,102183100,59,1517070700,1848800500,3912,Change
ticket_classification,tc57,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'vulnerability': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'vulnerability': {'change': 1, 'vulnerability': 0}, 'change': {'change': 0, 'vulnerability': 0}}",2,120554800,70,2295546700,2662254000,4704,Change
ticket_classification,tc58,phi4-mini:3.8b,0.0,0.0,"{'incident': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'vulnerability': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'vulnerability': {'incident': 1, 'vulnerability': 0}, 'incident': {'incident': 0, 'vulnerability': 0}}",2,91972100,65,1770890500,2067160300,4114,Incident
ticket_classification,tc59,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'patch': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'patch': {'change': 1, 'patch': 0}, 'change': {'change': 0, 'patch': 0}}",2,98990600,64,1667761700,1991125500,4044,Change
ticket_classification,tc60,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'patch': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'patch': {'change': 1, 'patch': 0}, 'change': {'change': 0, 'patch': 0}}",2,107039800,62,1772050100,2087067000,4141,Change
ticket_classification,tc61,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'license': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'license': {'change': 1, 'license': 0}, 'change': {'change': 0, 'license': 0}}",2,110116500,63,1653778300,1954086800,4011,Change
ticket_classification,tc62,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'license': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'license': {'change': 1, 'license': 0}, 'change': {'change': 0, 'license': 0}}",2,1970787700,62,6486788800,8894278100,10943,Change
ticket_classification,tc63,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'deprecation': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'deprecation': {'change': 1, 'deprecation': 0}, 'change': {'change': 0, 'deprecation': 0}}",2,109122800,64,4895815200,8924970700,11280,Change
ticket_classification,tc64,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'deprecation': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'deprecation': {'change': 1, 'deprecation': 0}, 'change': {'change': 0, 'deprecation': 0}}",2,107187500,62,1576583700,1896668900,4121,Change
ticket_classification,tc65,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'upgrade': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'upgrade': {'change': 1, 'upgrade': 0}, 'change': {'change': 0, 'upgrade': 0}}",2,99517600,68,1931283300,2222288900,4261,Change
ticket_classification,tc66,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'upgrade': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'upgrade': {'change': 1, 'upgrade': 0}, 'change': {'change': 0, 'upgrade': 0}}",2,119520800,62,1675746100,2044037200,4083,Change
ticket_classification,tc67,phi4-mini:3.8b,0.0,0.0,"{'automation': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'automation': {'change': 1, 'automation': 0}, 'change': {'automation': 0, 'change': 0}}",2,102332800,61,1600921200,1932419500,3982,Change
ticket_classification,tc68,phi4-mini:3.8b,0.0,0.0,"{'automation': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'automation': {'change': 1, 'automation': 0}, 'change': {'automation': 0, 'change': 0}}",2,122712900,63,1720490400,2065083000,4121,Change
ticket_classification,tc69,phi4-mini:3.8b,0.0,0.0,"{'alert': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'incident': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'alert': {'incident': 1, 'alert': 0}, 'incident': {'alert': 0, 'incident': 0}}",2,113829500,67,1916382700,2259255200,4299,Incident
ticket_classification,tc70,phi4-mini:3.8b,0.0,0.0,"{'alert': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'incident': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'alert': {'incident': 1, 'alert': 0}, 'incident': {'alert': 0, 'incident': 0}}",2,115324800,63,1689931200,2032431400,4076,Incident
ticket_classification,tc71,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'release': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'release': {'change': 1, 'release': 0}, 'change': {'change': 0, 'release': 0}}",2,132943700,67,2049887800,2457364200,4486,Change
ticket_classification,tc72,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'release': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'release': {'change': 1, 'release': 0}, 'change': {'change': 0, 'release': 0}}",2,102094700,61,1573906800,1924978400,3998,Change
ticket_classification,tc73,phi4-mini:3.8b,0.0,0.0,"{'problem': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'support': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'support': {'problem': 1, 'support': 0}, 'problem': {'problem': 0, 'support': 0}}",2,130191500,63,1900471600,2365924800,4417,Problem
ticket_classification,tc74,phi4-mini:3.8b,0.0,0.0,"{'maintenance': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'support': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'support': {'maintenance': 1, 'support': 0}, 'maintenance': {'maintenance': 0, 'support': 0}}",2,111087100,64,1859661700,2197907700,4236,Maintenance
ticket_classification,tc75,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'question': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'question': {'change': 1, 'question': 0}, 'change': {'change': 0, 'question': 0}}",2,105384200,62,1729739000,2059989400,4122,Change
ticket_classification,tc76,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'question': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'question': {'change': 1, 'question': 0}, 'change': {'change': 0, 'question': 0}}",2,111670800,61,1645070100,1984592800,4022,Change
ticket_classification,tc77,phi4-mini:3.8b,0.0,0.0,"{'data_restore': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'maintenance': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'data_restore': {'maintenance': 1, 'data_restore': 0}, 'maintenance': {'data_restore': 0, 'maintenance': 0}}",2,109525700,65,1949249400,2308544700,4353,Maintenance
ticket_classification,tc78,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'data_restore': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'data_restore': {'change': 1, 'data_restore': 0}, 'change': {'change': 0, 'data_restore': 0}}",2,114442100,66,2169858600,2573425200,4618,Change
ticket_classification,tc79,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'cloud': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'cloud': {'change': 1, 'cloud': 0}, 'change': {'change': 0, 'cloud': 0}}",2,108361400,62,1850528100,2213871800,4268,Change
ticket_classification,tc80,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'cloud': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'cloud': {'change': 1, 'cloud': 0}, 'change': {'change': 0, 'cloud': 0}}",2,107900200,60,1769357600,2079038100,4151,Change
ticket_classification,tc81,phi4-mini:3.8b,0.0,0.0,"{'change': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}, 'dns': {'precision': 0.0, 'recall': 0.0, 'f1': 0.0}}","{'dns': {'change': 1, 'dns': 0}, 'change': {'change': 0, 'dns': 0}}",2,117506500,70,2221805600,2565081600,4613,Change
